Original,Inflection,rbl_ara_folding,is_same
شرى,يشتري,اشترى,False
شرى,تشتري,اشترى,False
شرى,يشتريان,اشترى,False
شرى,يشتريا,اشترى,False
شرى,تشتريان,اشترى,False
شرى,تشتريا,اشترى,False
شرى,يشترون,اشترى,False
شرى,يشتروا,اشترى,False
شرى,يشترين,اشترى,False
شرى,نشتري,اشترى,False
شرى,إشتريت,اشترى,False
شرى,إشتريت,اشترى,False
شرى,إشتريت,اشترى,False
شرى,إشتريتم,اشترى,False
شرى,إشتريتن,اشترى,False
شرى,إشترى,اشترى,False
شرى,إشترت,اشترى,False
شرى,أشتريا,,False
شرى,إشتريتا,,False
شرى,إشتروا,اشترى,False
شرى,إشترين,اشترى,False
شرى,إشترينا,اشترى,False
شرى,إشتري,اشترى,False
شرى,إشتري,اشترى,False
شرى,إشتروا,اشترى,False
شرى,إشترن,,False
أدى,أدى,ادى,False
أدى,أودي,اودى,False
أدى,تؤدي,ادى,False
أدى,تؤدين,ادى,False
أدى,تؤدي,ادى,False
أدى,تؤدون,ادى,False
أدى,تؤدوا,ادى,False
أدى,تؤدين,ادى,False
أدى,يؤدي,ادى,False
أدى,تؤدي,ادى,False
أدى,يؤدون,اد,False
أدى,يؤدوا,ادى,False
أدى,يؤديان,ادى,False
أدى,يؤديا,ادى,False
أدى,تؤديان,ادى,False
أدى,تؤديا,ادى,False
أدى,يؤدين,ادى,False
أدى,نؤدي,ادى,False
أدى,أديت,ادى,False
أدى,أديت,ادى,False
أدى,أديت,ادى,False
أدى,أديتم,ادى,False
أدى,أديتن,ادى,False
أدى,أدى,ادى,False
أدى,أدت,اد,False
أدى,أديا,ادى,False
أدى,أدتا,اد,False
أدى,أدوا,اد,False
أدى,أدين,دان,False
أدى,أدينا,ادى,False
أدى,أد,اد,False
أدى,أدي,ادى,False
أدى,أدوا,اد,False
أدى,أدين,دان,False
موت,موت,موت,True
موت,أموت,مات,False
موت,تموت,مات,False
موت,تموتين,مات,False
موت,تموتي,مات,False
موت,تموتون,موت,True
موت,تموتوا,موت,True
موت,تمتن,امتن,False
موت,يموت,مات,False
موت,تموت,مات,False
موت,يموتان,مات,False
موت,يموتا,مات,False
موت,تموتان,مات,False
موت,تموتا,مات,False
موت,يموتون,مات,False
موت,يموتوا,مات,False
موت,يمتن,امتن,False
موت,نموت,نما,False
موت,موت,موت,True
موت,موت,موت,True
موت,موت,موت,True
موت,موتم,موت,True
موت,موتن,موت,True
موت,مات,,False
موت,ماتت,مات,False
موت,ماتا,مات,False
موت,ماتتا,مات,False
موت,موتى,ميت,False
موت,موتى,ميت,False
موت,متنا,متن,False
موت,موت,موت,True
موت,موتي,ميت,False
موت,موتوا,موت,True
موت,موتن,موت,True
أمن,أمن,امن,False
أمن,امن,امن,False
أمن,تأمن,امن,False
أمن,تأمنين,امن,False
أمن,تأمني,امن,False
أمن,تأمنون,امن,False
أمن,تأمنوا,امن,False
أمن,تأمن,امن,False
أمن,يأمن,امن,False
أمن,تأمن,امن,False
أمن,يأمنان,امن,False
أمن,يأمنا,امن,False
أمن,تأمنان,امن,False
أمن,تأمانا,,False
أمن,يأمنون,امن,False
أمن,يأمنوا,امن,False
أمن,يأمن,امن,False
أمن,نأمن,امن,False
أمن,أمنت,امن,False
أمن,أمنت,امن,False
أمن,أمنت,امن,False
أمن,أمنتم,امن,False
أمن,أمنتن,امن,False
أمن,أمن,امن,False
أمن,أمنت,امن,False
أمن,أمنا,امن,False
أمن,أمنتا,امن,False
أمن,أمنوا,امن,False
أمن,أمن,امن,False
أمن,أمنا,امن,False
أمن,أمن,امن,False
أمن,أمني,ام,False
أمن,أمنوا,امن,False
أمن,أمن,امن,False
أسس,أسس,اسس,False
أسس,أسس,اسس,False
أسس,تأسس,تاسس,False
أسس,تأسسي,,False
أسس,تأسيين,,False
أسس,تأسسون,,False
أسس,تأسسوا,تاسس,False
أسس,تؤسسن,اسس,False
أسس,يؤسس,اسس,False
أسس,تؤسس,اسس,False
أسس,يؤسسان,اسس,False
أسس,يؤسسا,اسس,False
أسس,تؤسسان,اسس,False
أسس,تؤسسا,اسس,False
أسس,يؤسسون,اسس,False
أسس,يؤسسوا,اسس,False
