Original,Inflection,ar_std_lem_folding2,is_same
سأل,سألن,سالن,False
سأل,سألنا,سالنا,False
سأل,إسأل,اسال,False
سأل,إسألي,اسال,False
سأل,إسألوا,اسالوا,False
سأل,إسألن,اسالن,False
شرى,شرى,شرى,True
شرى,أشتري,اشتر,False
شرى,تشتري,تشتر,False
شرى,تشترين,تشتر,False
شرى,تشتري,تشتر,False
شرى,تشترون,تشتر,False
شرى,تشتروا,تشتروا,False
شرى,تشترين,تشتر,False
شرى,يشتري,يشتر,False
شرى,تشتري,تشتر,False
شرى,يشتريان,يشتر,False
شرى,يشتريا,يشتريا,False
شرى,تشتريان,تشتر,False
شرى,تشتريا,تشتريا,False
شرى,يشترون,يشتر,False
شرى,يشتروا,يشتروا,False
شرى,يشترين,يشتر,False
شرى,نشتري,نشتر,False
شرى,إشتريت,اشتريت,False
شرى,إشتريت,اشتريت,False
شرى,إشتريت,اشتريت,False
شرى,إشتريتم,اشتريتم,False
شرى,إشتريتن,اشتريتن,False
شرى,إشترى,اشترى,False
شرى,إشترت,اشترت,False
شرى,أشتريا,اشتريا,False
شرى,إشتريتا,اشتريتا,False
شرى,إشتروا,اشتروا,False
شرى,إشترين,اشتر,False
شرى,إشترينا,اشترينا,False
شرى,إشتري,اشتر,False
شرى,إشتري,اشتر,False
شرى,إشتروا,اشتروا,False
شرى,إشترن,اشترن,False
أدى,أدى,ادى,False
أدى,أودي,اود,False
أدى,تؤدي,تؤد,False
أدى,تؤدين,تؤد,False
أدى,تؤدي,تؤد,False
أدى,تؤدون,تؤد,False
أدى,تؤدوا,تؤدوا,False
أدى,تؤدين,تؤد,False
أدى,يؤدي,يؤد,False
أدى,تؤدي,تؤد,False
أدى,يؤدون,يؤد,False
أدى,يؤدوا,يؤدوا,False
أدى,يؤديان,يؤد,False
أدى,يؤديا,يؤديا,False
أدى,تؤديان,تؤد,False
أدى,تؤديا,تؤديا,False
أدى,يؤدين,يؤد,False
أدى,نؤدي,نؤد,False
أدى,أديت,اديت,False
أدى,أديت,اديت,False
أدى,أديت,اديت,False
أدى,أديتم,اديتم,False
أدى,أديتن,اديتن,False
أدى,أدى,ادى,False
أدى,أدت,ادت,False
أدى,أديا,اديا,False
أدى,أدتا,ادتا,False
أدى,أدوا,ادوا,False
أدى,أدين,اد,False
أدى,أدينا,ادينا,False
أدى,أد,اد,False
أدى,أدي,اد,False
أدى,أدوا,ادوا,False
أدى,أدين,اد,False
موت,موت,موت,True
موت,أموت,اموت,False
موت,تموت,تموت,False
موت,تموتين,تموت,False
موت,تموتي,تموت,False
موت,تموتون,تموت,False
موت,تموتوا,تموتوا,False
موت,تمتن,تمتن,False
موت,يموت,يموت,False
موت,تموت,تموت,False
موت,يموتان,يموت,False
موت,يموتا,يموتا,False
موت,تموتان,تموت,False
موت,تموتا,تموتا,False
موت,يموتون,يموت,False
موت,يموتوا,يموتوا,False
موت,يمتن,يمتن,False
موت,نموت,نموت,False
موت,موت,موت,True
موت,موت,موت,True
موت,موت,موت,True
موت,موتم,موتم,False
موت,موتن,موتن,False
موت,مات,مات,False
موت,ماتت,ماتت,False
موت,ماتا,ماتا,False
موت,ماتتا,ماتتا,False
موت,موتى,موتى,False
موت,موتى,موتى,False
موت,متنا,متنا,False
موت,موت,موت,True
موت,موتي,موت,True
موت,موتوا,موتوا,False
موت,موتن,موتن,False
أمن,أمن,امن,False
أمن,امن,امن,False
أمن,تأمن,تامن,False
أمن,تأمنين,تامن,False
أمن,تأمني,تامن,False
أمن,تأمنون,تامن,False
أمن,تأمنوا,تامنوا,False
أمن,تأمن,تامن,False
أمن,يأمن,يامن,False
أمن,تأمن,تامن,False
أمن,يأمنان,يامن,False
أمن,يأمنا,يامنا,False
أمن,تأمنان,تامن,False
أمن,تأمانا,تامانا,False
أمن,يأمنون,يامن,False
أمن,يأمنوا,يامنوا,False
أمن,يأمن,يامن,False
أمن,نأمن,نامن,False
أمن,أمنت,امنت,False
أمن,أمنت,امنت,False
أمن,أمنت,امنت,False
أمن,أمنتم,امنتم,False
أمن,أمنتن,امنتن,False
أمن,أمن,امن,False
أمن,أمنت,امنت,False
أمن,أمنا,امنا,False
أمن,أمنتا,امنتا,False
أمن,أمنوا,امنوا,False
أمن,أمن,امن,False
أمن,أمنا,امنا,False
أمن,أمن,امن,False
أمن,أمني,امن,False
أمن,أمنوا,امنوا,False
أمن,أمن,امن,False
أسس,أسس,اسس,False
أسس,أسس,اسس,False
أسس,تأسس,تاسس,False
أسس,تأسسي,تاسس,False
أسس,تأسيين,تاس,False
أسس,تأسسون,تاسس,False
أسس,تأسسوا,تاسسوا,False
أسس,تؤسسن,تؤسسن,False
أسس,يؤسس,يؤسس,False
أسس,تؤسس,تؤسس,False
أسس,يؤسسان,يؤسس,False
أسس,يؤسسا,يؤسسا,False
أسس,تؤسسان,تؤسس,False
أسس,تؤسسا,تؤسسا,False
أسس,يؤسسون,يؤسس,False
أسس,يؤسسوا,يؤسسوا,False
أسس,يؤسسن,يؤسسن,False
أسس,نؤسس,نؤسس,False
أسس,أسست,اسست,False
أسس,أسست,اسست,False
أسس,أسست,اسست,False
أسس,أسستم,اسستم,False
أسس,أسستن,اسستن,False
أسس,أسس,اسس,False
أسس,أسست,اسست,False
أسس,أسسا,اسسا,False
أسس,أسستا,اسستا,False
أسس,أسسوا,اسسوا,False
أسس,أسسن,اسسن,False
أسس,أسسنا,اسسنا,False
أسس,أسس,اسس,False
أسس,أسسي,اسس,False
أسس,أسسوا,اسسوا,False
أسس,أسسن,اسسن,False
كون,كون,كون,True
كون,أكون,اك,False
كون,تكونن,تكونن,False
كون,تكونني,تكونن,False
كون,تكونين,تكون,False
كون,تكنون,تكن,False
كون,تكنوا,تكنوا,False
كون,تكن,تكن,False
كون,يكون,يك,False
كون,تكون,تك,False
كون,يكونان,يك,False
كون,يكونا,يكونا,False
كون,تكونا,تكونا,False
كون,تكونان,تك,False
كون,يكونوا,يكونوا,False
كون,يكونون,يكون,False
كون,يكن,يكن,False
كون,نكون,نك,False
كون,كنت,كنت,False
كون,كنت,كنت,False
كون,كنت,كنت,False
كون,كنتم,كنتم,False
كون,كنتن,كنتن,False
كون,كان,كان,False
كون,كانت,كانت,False
كون,كانا,كانا,False
كون,كانتا,كانتا,False
كون,كانوا,كانوا,False
كون,كن,كن,False
كون,كنا,كنا,False
كون,كن,كن,False
كون,كني,كن,False
كون,كونوا,كونوا,False
كون,كن,كن,False
قام,قام,قام,True
قام,أقوم,اقوم,False
قام,تقوم,تقوم,False
قام,تقومين,تقوم,False
قام,تقومي,تقوم,False
قام,تقومون,تقوم,False
قام,تقوموا,تقوموا,False
قام,تقمن,تقمن,False
قام,يقوم,يقوم,False
قام,تقوم,تقوم,False
قام,يقمنا,يقمنا,False
قام,يقمنان,يقمن,False
قام,تقمنا,تقمنا,False
قام,تقمنان,تقمن,False
قام,يقومون,يقوم,False
قام,يقوموا,يقوموا,False
قام,يقمن,يقمن,False
