Original,Inflection,rbl_ara,is_same
سأل,يسألا,سَأَل,False
سأل,تسألان,سَأَل,False
سأل,تسألا,تَسَأَّل,False
سأل,يسألون,سَأَل,False
سأل,يسألوا,سَأَل,False
سأل,يسألن,سَأَل,False
سأل,نسأل,سَأَل,False
سأل,سألت,سَأَل,False
سأل,سألت,سَأَل,False
سأل,سألت,سَأَل,False
سأل,سألتم,اِلْتَمّ,False
سأل,سألتن,سَأَل,False
سأل,سأل,سَأَل,False
سأل,سألت,سَأَل,False
سأل,سألا,سَأَل,False
سأل,سألتا,سَأَل,False
سأل,سألوا,سَأَل,False
سأل,سألن,أَلان,False
سأل,سألنا,سَأَل,False
سأل,إسأل,,False
سأل,إسألي,,False
سأل,إسألوا,,False
سأل,إسألن,,False
شرى,شرى,شِرَى,False
شرى,أشتري,اِشْتَرَى,False
شرى,تشتري,اِشْتَرَى,False
شرى,تشترين,اِشْتَرَى,False
شرى,تشتري,اِشْتَرَى,False
شرى,تشترون,شَتَر,False
شرى,تشتروا,شَتَر,False
شرى,تشترين,اِشْتَرَى,False
شرى,يشتري,اِشْتَرَى,False
شرى,تشتري,اِشْتَرَى,False
شرى,يشتريان,اِشْتَرَى,False
شرى,يشتريا,اِشْتَرَى,False
شرى,تشتريان,اِشْتَرَى,False
شرى,تشتريا,اِشْتَرَى,False
شرى,يشترون,اِشْتَرَى,False
شرى,يشتروا,اِشْتَرَى,False
شرى,يشترين,اِشْتَرَى,False
شرى,نشتري,اِشْتَرَى,False
شرى,إشتريت,اِشْتَرَى,False
شرى,إشتريت,اِشْتَرَى,False
شرى,إشتريت,اِشْتَرَى,False
شرى,إشتريتم,اِشْتَرَى,False
شرى,إشتريتن,اِشْتَرَى,False
شرى,إشترى,اِشْتَرَى,False
شرى,إشترت,اِشْتَرَى,False
شرى,أشتريا,,False
شرى,إشتريتا,,False
شرى,إشتروا,اِشْتَرَى,False
شرى,إشترين,اِشْتَرَى,False
شرى,إشترينا,اِشْتَرَى,False
شرى,إشتري,اِشْتَرَى,False
شرى,إشتري,اِشْتَرَى,False
شرى,إشتروا,اِشْتَرَى,False
شرى,إشترن,,False
أدى,أدى,أَدَّى,False
أدى,أودي,أَوْدَى,False
أدى,تؤدي,أَدَّى,False
أدى,تؤدين,أَدَّى,False
أدى,تؤدي,أَدَّى,False
أدى,تؤدون,أَدَّى,False
أدى,تؤدوا,أَدَّى,False
أدى,تؤدين,أَدَّى,False
أدى,يؤدي,أَدَّى,False
أدى,تؤدي,أَدَّى,False
أدى,يؤدون,أَدّ,False
أدى,يؤدوا,أَدَّى,False
أدى,يؤديان,أَدَّى,False
أدى,يؤديا,أَدَّى,False
أدى,تؤديان,أَدَّى,False
أدى,تؤديا,أَدَّى,False
أدى,يؤدين,أَدَّى,False
أدى,نؤدي,أَدَّى,False
أدى,أديت,أَدَّى,False
أدى,أديت,أَدَّى,False
أدى,أديت,أَدَّى,False
أدى,أديتم,أَدَّى,False
أدى,أديتن,أَدَّى,False
أدى,أدى,أَدَّى,False
أدى,أدت,أَدّ,False
أدى,أديا,أَدَّى,False
أدى,أدتا,أَدّ,False
أدى,أدوا,أَدّ,False
أدى,أدين,دان,False
أدى,أدينا,أَدَّى,False
أدى,أد,أَدّ,False
أدى,أدي,أَدَّى,False
أدى,أدوا,أَدّ,False
أدى,أدين,دان,False
موت,موت,مَوَّت,False
موت,أموت,مات,False
موت,تموت,مات,False
موت,تموتين,مات,False
موت,تموتي,مات,False
موت,تموتون,مَوَّت,False
موت,تموتوا,مَوَّت,False
موت,تمتن,اِمْتَنّ,False
موت,يموت,مات,False
موت,تموت,مات,False
موت,يموتان,مات,False
موت,يموتا,مات,False
موت,تموتان,مات,False
موت,تموتا,مات,False
موت,يموتون,مات,False
موت,يموتوا,مات,False
موت,يمتن,اِمْتَنّ,False
موت,نموت,نَما,False
موت,موت,مَوَّت,False
موت,موت,مَوَّت,False
موت,موت,مَوَّت,False
موت,موتم,مَوَّت,False
موت,موتن,مَوَّت,False
موت,مات,,False
موت,ماتت,مات,False
موت,ماتا,مات,False
موت,ماتتا,مات,False
موت,موتى,مَيِّت,False
موت,موتى,مَيِّت,False
موت,متنا,مَتَّن,False
موت,موت,مَوَّت,False
موت,موتي,مَيِّت,False
موت,موتوا,مَوَّت,False
موت,موتن,مَوَّت,False
أمن,أمن,أَمَّن,False
أمن,امن,أَمْن,False
أمن,تأمن,أَمُن,False
أمن,تأمنين,أَمُن,False
أمن,تأمني,أَمُن,False
أمن,تأمنون,أَمُن,False
أمن,تأمنوا,أَمُن,False
أمن,تأمن,أَمُن,False
أمن,يأمن,أَمُن,False
أمن,تأمن,أَمُن,False
أمن,يأمنان,أَمُن,False
أمن,يأمنا,أَمُن,False
أمن,تأمنان,أَمُن,False
أمن,تأمانا,,False
أمن,يأمنون,أَمُن,False
أمن,يأمنوا,أَمُن,False
أمن,يأمن,أَمُن,False
أمن,نأمن,أَمُن,False
أمن,أمنت,أَمَّن,False
أمن,أمنت,أَمَّن,False
أمن,أمنت,أَمَّن,False
أمن,أمنتم,أَمَّن,False
أمن,أمنتن,أَمَّن,False
أمن,أمن,أَمَّن,False
أمن,أمنت,أَمَّن,False
أمن,أمنا,أَمَّن,False
أمن,أمنتا,أَمَّن,False
أمن,أمنوا,أَمَّن,False
أمن,أمن,أَمَّن,False
أمن,أمنا,أَمَّن,False
أمن,أمن,أَمَّن,False
أمن,أمني,أَمّ,False
أمن,أمنوا,أَمَّن,False
أمن,أمن,أَمَّن,False
أسس,أسس,أَسَّس,False
أسس,أسس,أَسَّس,False
أسس,تأسس,تَأَسَّس,False
أسس,تأسسي,,False
أسس,تأسيين,,False
أسس,تأسسون,,False
أسس,تأسسوا,تَأَسَّس,False
أسس,تؤسسن,أَسَّس,False
أسس,يؤسس,أَسَّس,False
أسس,تؤسس,أَسَّس,False
أسس,يؤسسان,أَسَّس,False
أسس,يؤسسا,أَسَّس,False
أسس,تؤسسان,أَسَّس,False
أسس,تؤسسا,أَسَّس,False
أسس,يؤسسون,أَسَّس,False
أسس,يؤسسوا,أَسَّس,False
أسس,يؤسسن,أَسَّس,False
أسس,نؤسس,أَسَّس,False
أسس,أسست,أَسَّس,False
أسس,أسست,أَسَّس,False
أسس,أسست,أَسَّس,False
أسس,أسستم,أَسَّس,False
أسس,أسستن,أَسَّس,False
أسس,أسس,أَسَّس,False
أسس,أسست,أَسَّس,False
أسس,أسسا,أَسَّس,False
أسس,أسستا,أَسَّس,False
أسس,أسسوا,أَسَّس,False
أسس,أسسن,أَسَّس,False
